EventID	TotalHits	UniqueHits	Ratio
2119	18	18	1
2122	67	67	1
2123	39	39	1
2127	3346	433	0.129408
2128	182	70	0.384615
2129	9885	3134	0.317046
2130	2668	304	0.113943
2131	1828	1388	0.7593
2133	32	32	1
2139	83	27	0.325301
2140	13911	2279	0.163827
2142	99	99	1
2145	3517	350	0.0995166
2146	9795	1498	0.152935
2149	779	106	0.136072
2150	176	22	0.125
2152	386	386	1
2153	8037	913	0.1136
2154	243	243	1
2164	4310	656	0.152204
2167	2345	2035	0.867804
2168	56	56	1
2169	506	297	0.586957
2170	3432	3154	0.918998
2171	311	311	1
2174	74	44	0.594595
2177	86	86	1
2181	304	38	0.125
2185	201	201	1
2186	8845	1149	0.129904
2189	346	213	0.615607
2191	4868	924	0.189811
2196	120	22	0.183333
2197	136	21	0.154412
2199	2966	2228	0.75118
2203	208	208	1
2204	39	39	1
2206	99	99	1
2207	28	28	1
2214	77	11	0.142857
2216	259	37	0.142857
2217	1137	1137	1
2222	1563	1563	1
2224	8	8	1
2225	211	211	1
2228	804	589	0.732587
2231	43	43	1
2233	24	24	1
2235	6842	554	0.0809705
2237	3466	3179	0.917196
2238	489	66	0.134969
2239	3310	1873	0.565861
2241	8928	931	0.104279
2243	2118	1865	0.880548
2244	1047	791	0.755492
2246	5	5	1
2249	999	821	0.821822
2251	234	50	0.213675
2257	339	53	0.156342
2263	60	60	1
2264	1301	1021	0.784781
2268	14742	1661	0.112671
2269	13634	1241	0.0910224
2272	1204	1204	1
2284	27	27	1
2285	4380	1571	0.358676
2288	5598	1068	0.190782
2289	60	60	1
2290	238	78	0.327731
2297	86	13	0.151163
2299	32	32	1
2304	8325	1622	0.194835
2306	2986	353	0.118218
2311	120	15	0.125
2314	13013	1359	0.104434
2316	20245	3430	0.169425
2319	11694	1185	0.101334
2321	320	40	0.125
2322	1701	239	0.140506
2324	24	24	1
2325	622	622	1
2327	64	47	0.734375
2328	89	17	0.191011
2331	4	4	1
2332	3057	2655	0.868499
2333	1776	1776	1
2335	743	743	1
2341	93	93	1
2351	6420	641	0.0998442
2352	110	110	1
2354	29	29	1
2355	2882	2847	0.987856
2356	7092	1579	0.222645
2357	4997	536	0.107264
2358	380	53	0.139474
2360	288	37	0.128472
2364	10	10	1
2366	12	12	1
2367	13170	1323	0.100456
2371	530	185	0.349057
2373	4745	3522	0.742255
